domain,name,ambiguous_input_text,has_accepted_location,has_active_location_evidence,cleanup_disposition
academyxi.com,Academy Xi,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
accesspay.com.au,AccessPay,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
aeeris.com,Aeeris,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
aerobotics.com,Aerobotics,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
aerologix.com,Aerologix,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
agdna.com,AgDNA,"Macquarie Street, Dubbo NSW 2830, Australia",false,false,no_active_location_evidence
agiledigital.com.au,Agile Digital,"University Avenue, Canberra ACT 2601, Australia",false,false,no_active_location_evidence
agora.io,Agora,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
agridigital.io,Agridigital,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
agrifutures.com.au,AgriFutures Australia Tech,"Boorooma Street, Wagga Wagga NSW 2650, Australia",true,true,superseded_by_accepted_location
agtechcentral.com.au,AgTech Central,"Ruthven Street, Toowoomba QLD 4350, Australia",false,false,no_active_location_evidence
aiml.adelaide.edu.au,Australian Institute for Machine Learning,"North Terrace, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
aiven.io,Aiven AU,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
albanywaveenergy.com.au,Albany Wave Energy Tech,"York Street, Albany WA 6330, Australia",false,false,no_active_location_evidence
alembic.com.au,Alembic Strategy,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
alicespringssolar.com.au,Alice Springs Solar Desert Tech,"Todd Mall, Alice Springs NT 0870, Australia",true,false,superseded_by_accepted_location
amidatech.com.au,Amida Technology,"St Georges Terrace, Perth WA 6000, Australia",false,false,no_active_location_evidence
ampere.energy,Ampere Energy,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
anataralifesciences.com,Anatara Lifesciences,"Collins Street, Melbourne VIC 3000, Australia",true,true,superseded_by_accepted_location
archerx.com.au,Archer Materials,"Frome Road, Adelaide SA 5000, Australia",true,true,superseded_by_accepted_location
arcoplatform.com,Arco Platform,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
arloid.com,Arloid Automation,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
arnhemspace.com.au,Arnhem Space Tech,"Chesterfield Circuit, Nhulunbuy NT 0880, Australia",false,false,no_active_location_evidence
assemblypayments.com,Assembly Payments,"Collins Street, Melbourne VIC 3000, Australia",true,true,superseded_by_accepted_location
