domain,name,has_location_evidence,reachable,source_url,http_status,recovered
agdna.com,AgDNA,false,false,,,false
agtechcentral.com.au,AgTech Central,false,false,,,false
aiml.adelaide.edu.au,Australian Institute for Machine Learning,false,false,,,false
albanywaveenergy.com.au,Albany Wave Energy Tech,false,false,,,false
alicespringssolar.com.au,Alice Springs Solar Desert Tech,false,false,,,false
amidatech.com.au,Amida Technology,false,false,,,false
arnhemspace.com.au,Arnhem Space Tech,false,false,,,false
athertonagtech.com.au,Atherton Tablelands Agtech,false,false,,,false
awdigitalhealth.com.au,Albury Wodonga Digital Health,false,false,,,false
azured.com.au,Azured,false,false,,,false
bairnsdalemarine.com.au,Bairnsdale Marine Sensors,false,false,,,false
ballaratcloud.com.au,Ballarat Cloud Solutions,false,false,,,false
ballaratsolar.com.au,Ballarat Solar Tech,false,false,http://ballaratsolar.com.au,200,true
ballinacloud.com.au,Ballina Cloud Systems,false,false,,,false
barossawinedigital.com.au,Barossa Wine Digital,false,false,,,false
bellbayhydrogen.com.au,Bell Bay Clean Hydrogen Digital,false,false,,,false
bionomics.com.au,Bionomics,false,false,http://www.bionomics.com.au,409,true
bowenbasin.com.au,Bowen Basin Telematics,false,false,,,false
broomepearl.com.au,Broome Pearl BioSensors,false,false,http://broomepearl.com.au,409,true
bundabergbrewtech.com.au,Bundaberg Brew Tech,false,false,,,false
burniecomposites.com.au,Burnie Advanced Composites,false,false,,,false
busseltonviti.com.au,Busselton Viticulture Sensors,false,false,,,false
cabooltureagsystems.com.au,Caboolture Ag Systems,false,false,,,false
caradvice.com.au,Caradvice,false,false,https://www.drive.com.au/,403,true
castlemaineengineering.com.au,Castlemaine Engineering Tech,false,false,,,false
cedunasatellite.com.au,Ceduna Satellite Earth Station,false,false,,,false
centralwestsolar.com.au,Central West Solar IoT,false,false,,,false
chinchillagas.com.au,Chinchilla Gas Telemetry,false,false,,,false
clarevalleytech.com.au,Clare Valley Viticulture Tech,false,false,,,false
cogbi.com.au,CogBI Analytics,false,false,,,false
cogent.co,Cogent,false,false,,,false
cogitogroup.com.au,Cogito Group,false,false,https://cogitogroup.com.au/,404,true
copperstringdigital.com.au,CopperString Digital,false,false,,,false
coupa.com,Coupa Software AU,false,false,https://www.coupa.com,403,true
csl.com,CSL Limited,false,false,https://www.csl.com,429,true
cyban.com.au,Cyban,false,false,http://wavewise.com/,202,true
dandenongrobotics.com.au,Dandenong Robotics Centre,false,false,,,false
datamesh.com.au,DataMesh,false,false,http://datamesh.com.au,503,true
datanzo.com.au,Datanzo,false,false,,,false
deakinmarinetech.com.au,Deakin Marine Tech Warrnambool,false,false,,,false
devonportagtech.com.au,Devonport Agricultural Automation,false,false,,,false
dextro.com.au,Dextro,false,false,https://www.dextro.com.au/landing,404,true
eaglehawksoftware.com.au,Eaglehawk Software,false,false,,,false
easygo.gg,Easygo Gaming,false,false,,,false
envirofibre.com.au,ENVIROFIBRE Tech,false,false,,,false
esperancegrain.com.au,Esperance Grain Logistics,false,false,,,false
farnorthtelemetry.com.au,Far North Telemetry,false,false,,,false
fedunitechpark.com.au,Federation Tech Park,false,false,,,false
fincast.io,Fincast,false,false,,,false
finpo.com.au,Finpo,false,false,,,false
flexigroup.com.au,FlexiGroup,false,false,https://www.shophumm.com/humm-group/,200,true
forestryse.com.au,Forestry South East Telemetry,false,false,,,false
frankstonhealthtech.com.au,Frankston Healthtech Lab,false,false,,,false
fremantlesubsea.com.au,Fremantle Subsea Robotics,false,false,,,false
gcroboticshub.com.au,Gold Coast Robotics Hub,false,false,,,false
geelongaerospace.com.au,Geelong Aerospace Sensors,false,false,,,false
geolyse.com,Geolyse Tech,false,false,,,false
geraldtonwind.com.au,Geraldton Wind Robotics,false,false,,,false
getconga.com,Conga AU,false,false,,,false
gladstonehydrogen.com.au,Gladstone Hydrogen Telemetry,false,false,,,false
goanna.ag,Goanna Ag,false,false,http://goanna.ag,200,true
goulburnglass.com.au,Goulburn River Glass Tech,false,false,,,false
greenpowerenergy.com.au,GreenPower Energy,false,false,,,false
gvtelemetry.com.au,Goulburn Valley Telemetry,false,false,,,false
gympietimbertech.com.au,Gympie Timber Tech,false,false,,,false
harvestroad.com.au,Harvest Road,false,false,,,false
hendersondefence.com.au,Henderson Marine Defence,false,false,,,false
herveybaymarine.com.au,Hervey Bay Marine Electronics,false,false,,,false
hiveuav.com,HiveUAV,false,false,https://www.hugedomains.com/domain_profile.cfm?d=hiveuav.com,200,true
hunterhydrogentech.com.au,Hunter Hydrogen Tech,false,false,,,false
hydronautics.com.au,Hydronautics,false,false,,,false
hyperdigital.com.au,Hyper Digital,false,false,,,false
hypersensesoftware.com.au,Hypersense Software,false,false,,,false
imgmaterials.com,Imagine Intelligent Materials,false,false,,,false
intellicheck.com.au,Intellicheck,false,false,,,false
intellihr.com,IntelliHR,false,false,,,false
intergraph.com.au,Intergraph AU,false,false,http://intergraph.com.au,200,true
ipswichdefenserobotics.com.au,Ipswich Defense Robotics,false,false,,,false
jcumaredeptech.com.au,JCU Marine Deeptech,false,false,,,false
joii.com.au,Joii,false,false,,,false
joondalupcyber.com.au,Joondalup Cyber Academy Tech,false,false,,,false
joust.com.au,Joust,false,false,,,false
kalgoorliemining.com.au,Kalgoorlie Mine Automation,false,false,http://kalgoorliemining.com.au,404,true
kiralearning.com,Kira Learning,false,false,,,false
kwinanadigitaltwin.com.au,Kwinana Industrial Digital Twin,false,false,,,false
latrobevalleynetwork.com.au,Latrobe Valley Engineering Tech,false,false,,,false
livestockwatersolutions.com.au,Livestock Water Solutions,false,false,,,false
livetiles.nyc,LiveTiles,false,false,,,false
locqus.com,Locqus,false,false,https://locqus.com/,200,true
logancleantech.com.au,Logan Cleantech Energy,false,false,,,false
lumafinancialtech.com,Luma Financial Technologies,false,false,,,false
lumilighting.com.au,Lumi,false,false,,,false
luminary.com.au,Luminary,false,false,,,false
mackayminingtech.com.au,Mackay Autonomous Mining,false,false,,,false
mandurahenviro.com.au,Mandurah Environmental IoT,false,false,,,false
maroochydoresmartcity.com.au,Maroochydore Smart City IoT,false,false,,,false
maryboroughrail.com.au,Maryborough Rail Robotics,false,false,,,false
me3d.com.au,Me3D,false,false,http://me3d.com.au,403,true
mesoblast.com,Mesoblast,false,false,https://www.mesoblast.com,403,true
midlandrail.com.au,Midland Rail Automation,false,false,,,false
mildurafruittech.com.au,Mildura Fruit Tech,false,false,,,false
monash.edu,Monash MedTech,false,false,https://www.monash.edu,403,true
mpcleantech.com.au,Mornington Peninsula Cleantech,false,false,,,false
