domain,name,has_location_evidence,reachable,source_url
academyxi.com,Academy Xi,false,true,https://academyxi.com
accesspay.com.au,AccessPay,false,true,https://accesspay.com.au
aerobotics.com,Aerobotics,false,true,https://aerobotics.com
aerologix.com,Aerologix,false,true,https://aerologix.com
agdna.com,AgDNA,false,false,
agiledigital.com.au,Agile Digital,false,true,https://agiledigital.com.au
agora.io,Agora,false,true,https://www.agora.io/en/
agridigital.io,Agridigital,false,true,https://www.agridigital.io/
agtechcentral.com.au,AgTech Central,false,false,
aiml.adelaide.edu.au,Australian Institute for Machine Learning,false,false,
albanywaveenergy.com.au,Albany Wave Energy Tech,false,false,
alembic.com.au,Alembic Strategy,false,true,https://alembic.com.au
alicespringssolar.com.au,Alice Springs Solar Desert Tech,false,false,
amidatech.com.au,Amida Technology,false,false,
ampere.energy,Ampere Energy,false,true,https://ampere.energy
anataralifesciences.com,Anatara Lifesciences,false,true,https://anataralifesciences.com
archerx.com.au,Archer Materials,false,true,https://www.archerx.com.au/
arcoplatform.com,Arco Platform,false,true,https://www.arcoeducacao.com.br:443/
arloid.com,Arloid Automation,false,true,https://arloid.com
arnhemspace.com.au,Arnhem Space Tech,false,false,
assemblypayments.com,Assembly Payments,false,true,https://www.hellozai.com/
astutepayroll.com,Astute Payroll,false,true,https://astutepayroll.com
athertonagtech.com.au,Atherton Tablelands Agtech,false,false,
austeng.net.au,Austeng Tech,false,true,https://austeng.net.au
autoguru.com.au,AutoGuru,false,true,https://www.autoguru.com.au:443/
awdigitalhealth.com.au,Albury Wodonga Digital Health,false,false,
azured.com.au,Azured,false,false,
baesystems.com,BAE Systems Digital SA,false,true,https://www.baesystems.com/
bairnsdalemarine.com.au,Bairnsdale Marine Sensors,false,false,
ballaratcloud.com.au,Ballarat Cloud Solutions,false,false,
ballaratsolar.com.au,Ballarat Solar Tech,false,false,
ballinacloud.com.au,Ballina Cloud Systems,false,false,
barossawinedigital.com.au,Barossa Wine Digital,false,false,
bartondeakin.com,Barton Deakin,false,true,https://bartondeakin.com
beamery.com,Beamery,false,true,https://beamery.com
beefledger.io,BeefLedger,false,true,https://beefledger.io
behavox.com,Behavox AU,false,true,https://behavox.com
bellbayhydrogen.com.au,Bell Bay Clean Hydrogen Digital,false,false,
bendigotelco.com.au,Bendigo Telco Tech,false,true,https://bendigotelco.com.au
bionomics.com.au,Bionomics,false,false,
boomaroo.com,Boomaroo Tech,false,true,https://boomaroo.com
bowenbasin.com.au,Bowen Basin Telematics,false,false,
braiins.com,Braiins,false,true,https://braiins.com
broomepearl.com.au,Broome Pearl BioSensors,false,false,
buildpass.com.au,Buildpass,false,true,https://www.buildpass.ai/
bundabergbrewtech.com.au,Bundaberg Brew Tech,false,false,
burniecomposites.com.au,Burnie Advanced Composites,false,false,
busseltonviti.com.au,Busselton Viticulture Sensors,false,false,
cabooltureagsystems.com.au,Caboolture Ag Systems,false,false,
canstar.com.au,Canstar,false,true,https://www.canstar.com.au/
caradvice.com.au,Caradvice,false,false,
carbonlink.com.au,CarbonLink,false,true,https://carbonlink.com.au
cardiex.com,CardieX,false,true,https://conneqthealth.com/
castlemaineengineering.com.au,Castlemaine Engineering Tech,false,false,
cea.com.au,CEA Technologies,false,true,https://www.cea.com.au/
cedunasatellite.com.au,Ceduna Satellite Earth Station,false,false,
centralvicsolar.com.au,Central Victorian Solar IoT,false,true,https://centralvicsolar.com.au
centralwestsolar.com.au,Central West Solar IoT,false,false,
chinchillagas.com.au,Chinchilla Gas Telemetry,false,false,
cim.io,CIM Tech,false,true,https://www.cim.io/
cityzen.com.au,Cityzen Tech,false,true,https://cityzen.com.au
civx.com.au,CivX,false,true,https://civxinfra.com.au/
clarevalleytech.com.au,Clare Valley Viticulture Tech,false,false,
clevertar.com,Clevertar,false,true,https://www.clevertar.com/
clinuvel.com,Clinuvel Pharmaceuticals,false,true,https://www.clinuvel.com/
coastr.com,Coastr Technology,false,true,https://www.coastr.com/
cogbi.com.au,CogBI Analytics,false,false,
cogent.co,Cogent,false,false,
cogitogroup.com.au,Cogito Group,false,false,
compumedics.com.au,Compumedics,false,true,https://www.compumedics.com.au/en/
copperstringdigital.com.au,CopperString Digital,false,false,
corelogic.com.au,CoreLogic AU,false,true,https://www.cotality.com/
