domain,name,has_location_evidence
academyxi.com,Academy Xi,false
accesspay.com.au,AccessPay,false
aeeris.com,Aeeris,true
aerobotics.com,Aerobotics,false
aerologix.com,Aerologix,false
agdna.com,AgDNA,false
agiledigital.com.au,Agile Digital,false
agora.io,Agora,false
agridigital.io,Agridigital,false
agrifutures.com.au,AgriFutures Australia Tech,true
agtechcentral.com.au,AgTech Central,false
aiml.adelaide.edu.au,Australian Institute for Machine Learning,false
aiven.io,Aiven AU,true
albanywaveenergy.com.au,Albany Wave Energy Tech,false
alembic.com.au,Alembic Strategy,false
alicespringssolar.com.au,Alice Springs Solar Desert Tech,false
amidatech.com.au,Amida Technology,false
ampere.energy,Ampere Energy,false
anataralifesciences.com,Anatara Lifesciences,false
archerx.com.au,Archer Materials,false
arcoplatform.com,Arco Platform,false
arloid.com,Arloid Automation,false
arnhemspace.com.au,Arnhem Space Tech,false
assemblypayments.com,Assembly Payments,false
astutepayroll.com,Astute Payroll,false
athertonagtech.com.au,Atherton Tablelands Agtech,false
austeng.net.au,Austeng Tech,false
autoguru.com.au,AutoGuru,false
awdigitalhealth.com.au,Albury Wodonga Digital Health,false
azured.com.au,Azured,false
baesystems.com,BAE Systems Digital SA,false
bairnsdalemarine.com.au,Bairnsdale Marine Sensors,false
ballaratcloud.com.au,Ballarat Cloud Solutions,false
ballaratsolar.com.au,Ballarat Solar Tech,false
ballinacloud.com.au,Ballina Cloud Systems,false
barossawinedigital.com.au,Barossa Wine Digital,false
bartondeakin.com,Barton Deakin,false
beamery.com,Beamery,false
beefledger.io,BeefLedger,false
behavox.com,Behavox AU,false
bellbayhydrogen.com.au,Bell Bay Clean Hydrogen Digital,false
bendigotelco.com.au,Bendigo Telco Tech,false
bionomics.com.au,Bionomics,false
boomaroo.com,Boomaroo Tech,false
bowenbasin.com.au,Bowen Basin Telematics,false
braiins.com,Braiins,false
broomepearl.com.au,Broome Pearl BioSensors,false
buildpass.com.au,Buildpass,false
bundabergbrewtech.com.au,Bundaberg Brew Tech,false
burniecomposites.com.au,Burnie Advanced Composites,false
busseltonviti.com.au,Busselton Viticulture Sensors,false
butn.com.au,Butn,true
cabooltureagsystems.com.au,Caboolture Ag Systems,false
canstar.com.au,Canstar,false
caradvice.com.au,Caradvice,false
carbonlink.com.au,CarbonLink,false
cardiex.com,CardieX,false
castlemaineengineering.com.au,Castlemaine Engineering Tech,false
cea.com.au,CEA Technologies,false
cedunasatellite.com.au,Ceduna Satellite Earth Station,false
centralvicsolar.com.au,Central Victorian Solar IoT,false
centralwestsolar.com.au,Central West Solar IoT,false
chinchillagas.com.au,Chinchilla Gas Telemetry,false
cim.io,CIM Tech,false
cityzen.com.au,Cityzen Tech,false
civx.com.au,CivX,false
clarevalleytech.com.au,Clare Valley Viticulture Tech,false
clevertar.com,Clevertar,false
clinuvel.com,Clinuvel Pharmaceuticals,false
clueylearning.com.au,Cluey Learning,true
coastr.com,Coastr Technology,false
cogbi.com.au,CogBI Analytics,false
cogent.co,Cogent,false
cogitogroup.com.au,Cogito Group,false
compono.com,Compono,true
compumedics.com.au,Compumedics,false
copperstringdigital.com.au,CopperString Digital,false
corelogic.com.au,CoreLogic AU,false
coupa.com,Coupa Software AU,false
creditorwatch.com.au,Creditor Watch,false
csl.com,CSL Limited,false
curationcorp.com,Curation Corp,false
cvcheck.com,CVCheck Tech,false
cyara.com,Cyara,true
cyban.com.au,Cyban,false
cyclopharm.com.au,Cyclopharm,false
dandenongrobotics.com.au,Dandenong Robotics Centre,false
datamesh.com.au,DataMesh,false
datanzo.com.au,Datanzo,false
deakinmarinetech.com.au,Deakin Marine Tech Warrnambool,false
devicie.com,Devicie,true
devonportagtech.com.au,Devonport Agricultural Automation,false
dextro.com.au,Dextro,false
dimerix.com,Dimerix,false
divipay.com.au,Divipay,false
dremio.com,Dremio (Australia Hub),false
dspace.com,Dspace Australia,false
eaglehawksoftware.com.au,Eaglehawk Software,false
easygo.gg,Easygo Gaming,false
employmentinnovations.com,Employment Innovations,false
endua.com,Endua,false
entegy.com.au,Entegy,false
envirofibre.com.au,ENVIROFIBRE Tech,false
esperancegrain.com.au,Esperance Grain Logistics,false
euclideon.com,Euclideon,false
everty.com.au,Everty,true
ezypay.com,Ezypay,true
faethm.ai,Faethm AI,false
familyzone.com,Family Zone Tech,false
farmdeck.com,Farmdeck,true
farnorthtelemetry.com.au,Far North Telemetry,false
fedunitechpark.com.au,Federation Tech Park,false
ferocia.com.au,Ferocia,false
ferronova.com.au,Ferronova,false
fincast.io,Fincast,false
finpo.com.au,Finpo,false
fletch.ai,Fletch AI,false
flexigroup.com.au,FlexiGroup,false
fluidly.com,Fluidly AU,false
fologram.com,Fologram,false
forestryse.com.au,Forestry South East Telemetry,false
forter.com,Forter Australia,false
frankly.com.au,Frankly,true
frankstonhealthtech.com.au,Frankston Healthtech Lab,false
fremantlesubsea.com.au,Fremantle Subsea Robotics,false
gcroboticshub.com.au,Gold Coast Robotics Hub,false
geelongaerospace.com.au,Geelong Aerospace Sensors,false
geneticsignatures.com,Genetic Signatures,false
geographe.com.au,Geographe,false
geolyse.com,Geolyse Tech,false
geraldtonwind.com.au,Geraldton Wind Robotics,false
getconga.com,Conga AU,false
gigacomm.net.au,GigaComm,false
gippswater.com.au,Gippsland Water Digital,false
givengineering.com,GivEngineering,false
gladstonehydrogen.com.au,Gladstone Hydrogen Telemetry,false
goanna.ag,Goanna Ag,false
goodpairdays.com,Good Pair Days,false
goulburnglass.com.au,Goulburn River Glass Tech,false
greatwrap.co,Great Wrap,false
greener.com.au,Greener,true
greenpowerenergy.com.au,GreenPower Energy,false
greensync.com.au,GreenSync,true
gretel.ai,Gretel.ai,false
greyinnovation.com,Grey Innovation,false
groundbreaker.co,Groundbreaker,false
gvtelemetry.com.au,Goulburn Valley Telemetry,false
gympietimbertech.com.au,Gympie Timber Tech,false
haikudeck.com,Haiku Deck AU,false
halaxy.com,Halaxy,false
harvestroad.com.au,Harvest Road,false
hatch.team,Hatch,false
haventec.com,Haventec,true
hendersondefence.com.au,Henderson Marine Defence,false
herveybaymarine.com.au,Hervey Bay Marine Electronics,false
hivery.com,Hivery,true
hiveuav.com,HiveUAV,false
honeyflow.com.au,Flow Hive Tech,false
humanitix.com,Humanitix,false
hunterhydrogentech.com.au,Hunter Hydrogen Tech,false
hydrix.com,Hydrix Group,false
hydronautics.com.au,Hydronautics,false
hylo.com,Hylo,false
hyperanna.com,Hyper Anna,false
hyperdigital.com.au,Hyper Digital,false
hypersensesoftware.com.au,Hypersense Software,false
hypertune.com,Hypertune,false
imgmaterials.com,Imagine Intelligent Materials,false
inauro.com.au,Inauro,false
indebted.co,InDebted,true
infotrack.com.au,InfoTrack,false
inovor.com.au,Inovor Technologies,false
insentra.com,Insentra,true
instantscripts.com.au,InstantScripts,false
intelledox.com,Intelledox,false
intellicheck.com.au,Intellicheck,false
intellihr.com,IntelliHR,false
intergraph.com.au,Intergraph AU,false
interlate.com,Interlate,true
intersective.com,Intersective,false
intopia.digital,Intopia,false
invetechgroup.com,Invetech Group,false
ipswichdefenserobotics.com.au,Ipswich Defense Robotics,false
jaxsta.com,Jaxsta,false
jcumaredeptech.com.au,JCU Marine Deeptech,false
jemena.com.au,Jemena,false
joii.com.au,Joii,false
joondalupcyber.com.au,Joondalup Cyber Academy Tech,false
joust.com.au,Joust,false
kablamo.com.au,Kablamo,false
kalgoorliemining.com.au,Kalgoorlie Mine Automation,false
kinexus.com.au,Kinexus,false
kiralearning.com,Kira Learning,false
klayo.com,Klayo,false
koala.com,Koala Tech,false
koba.com.au,Koba Insurance,false
kurrajong.com.au,Kurrajong Tech,false
kwinanadigitaltwin.com.au,Kwinana Industrial Digital Twin,false
laingorourke.com,Laing O Rourke Digital,false
latrobevalleynetwork.com.au,Latrobe Valley Engineering Tech,false
legalvision.com.au,Legalvision,false
limeade.com,Limeade AU,false
liminalbiosciences.com,Liminal BioSciences AU,false
livestockwatersolutions.com.au,Livestock Water Solutions,false
livetiles.nyc,LiveTiles,false
localsearch.com.au,Localsearch,true
locqus.com,Locqus,false
logancleantech.com.au,Logan Cleantech Energy,false
longbowadvantage.com,Longbow Advantage,false
lumachain.com,Lumachain,false
lumafinancialtech.com,Luma Financial Technologies,false
lumilighting.com.au,Lumi,false
luminary.com.au,Luminary,false
mackayminingtech.com.au,Mackay Autonomous Mining,false
macquarietelecom.com,Macquarie Telecom Cloud,false
mandurahenviro.com.au,Mandurah Environmental IoT,false
marketplacer.com,Marketplacer,false
maroochydoresmartcity.com.au,Maroochydore Smart City IoT,false
maryboroughrail.com.au,Maryborough Rail Robotics,false
maynepharma.com,Mayne Pharma Tech,false
me3d.com.au,Me3D,false
mealpal.com.au,Mealpal,false
mesoblast.com,Mesoblast,false
midfield.com.au,Midfield Automation,false
midlandrail.com.au,Midland Rail Automation,false
mildurafruittech.com.au,Mildura Fruit Tech,false
minfos.com.au,Minfos,true
mobisolutions.com.au,Mobi Solutions,false
monash.edu,Monash MedTech,false
monashivf.com,Monash IVF,false
montu.com.au,Montu,false
mosh.com.au,Mosh,false
moula.com.au,Moula Money,false
mountisaminerals.com.au,Mount Isa Mineral Sensors,false
mpcleantech.com.au,Mornington Peninsula Cleantech,false
murrayirrigation.com.au,Murray Irrigation Tech,false
mynd.ai,Mynd.ai,false
myriota.com,Myriota,false
ncs.com.au,NCS Group,false
neighbourlytics.com,Neighbourlytics,false
netapp.com,NetApp AU,false
neumannspace.com,Neumann Space,false
newmanmining.com.au,Newman Mining Telemetry,false
nexgen.net.au,Nexgen,false
ningaloomarine.com.au,Ningaloo Marine Telemetry,false
noeticgroup.com,Noetic Group Tech,false
noosabiosphere.com.au,Noosa Biosphere Tech,false
northambroadacre.com.au,Northam Broadacre Tech,false
northeasttelco.com.au,North East Telco,false
notiv.com,Notiv,false
ntfleet.com.au,NT Fleet Telematics,false
nura.com,Nura,false
octaneai.com,Octane AI,false
octet.com.au,Octet,false
openpay.com.au,Openpay Tech,false
opensolar.com,OpenSolar,false
opmantek.com,Opmantek Software,false
opthea.com,Opthea,false
outpostcentral.com,Outpost Central,false
pairtree.com.au,Pairtree,false
partly.com,Partly,false
pathzero.com,Pathzero,false
pavefinance.com.au,Pave Finance,false
paxon.com.au,Paxon Group,false
paydock.com,Paydock,false
pepperstone.com,Pepperstone,false
personifycare.com,Personify Care,false
picturewealth.com.au,PictureWealth,true
pilbaraminingtech.com.au,Pilbara Autonomous Mining,false
planetinnovation.com.au,Planet Innovation,false
pnyx.com.au,Pnyx,true
pocketed.com.au,Pocketed,false
pointerra.com,Pointerra,false
polynovo.com,Polynovo,false
portaugustasolar.com.au,Port Augusta Solar Thermal,false
porthedlandmaritime.com.au,Port Hedland Maritime Radar,false
portlincolnmarine.com.au,Port Lincoln Marine Tech,false
pozi.com,Pozi,false
precisionagriculture.com.au,Precision Agriculture Australia,false
precisionpastures.com.au,Precision Pastures,true
preezie.com,Preezie,false
prezzee.com,Prezzee,false
procreate.com,Savage Interactive,false
procurious.com,Procurious,false
promedicus.com.au,Pro Medicus,false
pronavigator.ai,ProNavigator,false
proptrack.com.au,PropTrack,true
proqual.com.au,Proqual,false
quantium.com.au,Quantium,false
quantxlabs.com,QuantX Labs,false
radiumcapital.com.au,Radium Capital,true
rayner.com.au,Rayner,false
realtimenetworks.com.au,RealTime Networks,false
redlandmarine.com.au,Redland Marine BioSensors,false
resmed.com,ResMed Digital,false
rezdy.com,Rezdy,false
rezeco.com.au,Rezeco,false
rezola.com.au,Rezola,false
riverlandirrigation.com.au,Riverland Irrigation IoT,false
rmeglobal.com,Russell Mineral Equipment Tech,false
robinahealthtech.com.au,Robina Healthtech Solutions,false
romapastoral.com.au,Roma Pastoral Tech,false
rosterfy.com,Rosterfy,false
roxbydownstech.com.au,Roxby Downs Remote Mining,false
saab.com,Saab Australia Digital,false
samsara.com,Samsara Networks AU,false
scalapay.com,Scalapay,false
scancam.com.au,Scancam,false
scenegroup.com.au,Scene Group Tech,false
sealite.com.au,Sealite,false
seerdata.com.au,Seer Data,false
seqta.com.au,SEQTA Software,false
sherlok.com.au,Sherlok,false
sievertlarsen.com,Sievert Larsen,false
silentiumdefence.com.au,Silentium Defence,false
skoolbag.com.au,Skoolbag,false
skyfii.com,Skyfii,false
smartcitiesiot.com.au,Smart Cities IoT Australia,false
smartfarmune.com.au,SMART Farm UNE,false
smartsatcrc.com,SmartSat CRC,false
snapsend.com.au,SnapSend,false
sol-secure.com.au,Sol-Secure,false
somnomed.com.au,SomnoMed,false
sonder.io,Sonder,true
southerncrosscomputing.com.au,Southern Cross Computing,false
southernriverinaiot.com.au,Southern Riverina IoT,false
southwestagtech.com.au,South West Agtech Bunbury,false
southwestiot.com.au,South West IoT,false
spendless.com.au,Spendless,false
splend.com.au,Splend Tech,false
spookfish.com,Spookfish Geospatial,false
sportsbet.com.au,Sportsbet Tech,false
spriggy.com.au,Spriggy,true
springday.com.au,Springday,true
sproutx.com.au,SproutX Regional Tech,false
stanthorpeappletech.com.au,Stanthorpe Apple Tech,false
starofthesouth.com.au,Star of the South Telemetry,false
starpharma.com,Starpharma,false
stax.io,Stax,false
steller.com.au,Steller,false
stileeducation.com,Stile Education,false
strikingly.com,Strikingly,false
subiacocloud.com.au,Subiaco Cloud Technologies,false
subzerorobotics.com.au,Subzero Robotics,false
sunitafe.edu.au,SuniTAFE Smart Farm,false
sunraysiasolar.com.au,Sunraysia Solar Telemetry,false
taggle.com.au,Taggle Systems,true
telnyx.com,Telnyx,false
tether.io,Tether,false
thindata.com.au,Thindata,false
