domain,name,has_location_evidence,reachable,source_url,final_url,captured
academyxi.com,Academy Xi,false,true,https://academyxi.com,https://academyxi.com,true
accesspay.com.au,AccessPay,false,true,https://accesspay.com.au,https://accesspay.com.au,true
aerobotics.com,Aerobotics,false,true,https://aerobotics.com,https://aerobotics.com,true
aerologix.com,Aerologix,false,true,https://aerologix.com,https://aerologix.com,true
agiledigital.com.au,Agile Digital,false,true,https://agiledigital.com.au,https://agiledigital.com.au,true
agora.io,Agora,false,true,https://www.agora.io/en/,https://www.agora.io/en/,true
agridigital.io,Agridigital,false,true,https://www.agridigital.io/,https://www.agridigital.io/,true
alembic.com.au,Alembic Strategy,false,true,https://alembic.com.au,https://alembic.com.au,true
ampere.energy,Ampere Energy,false,true,https://ampere.energy,https://ampere.energy,true
anataralifesciences.com,Anatara Lifesciences,false,true,https://anataralifesciences.com,https://anataralifesciences.com,true
archerx.com.au,Archer Materials,false,true,https://www.archerx.com.au/,https://www.archerx.com.au/,true
arcoplatform.com,Arco Platform,false,true,https://www.arcoeducacao.com.br:443/,https://www.arcoeducacao.com.br:443/,true
arloid.com,Arloid Automation,false,true,https://arloid.com,https://arloid.com,true
assemblypayments.com,Assembly Payments,false,true,https://www.hellozai.com/,https://www.hellozai.com/,true
astutepayroll.com,Astute Payroll,false,true,https://astutepayroll.com,https://astutepayroll.com,true
austeng.net.au,Austeng Tech,false,true,https://austeng.net.au,https://austeng.net.au,true
autoguru.com.au,AutoGuru,false,true,https://www.autoguru.com.au:443/,https://www.autoguru.com.au:443/,true
baesystems.com,BAE Systems Digital SA,false,true,https://www.baesystems.com/,https://www.baesystems.com/,true
bartondeakin.com,Barton Deakin,false,true,https://bartondeakin.com,https://bartondeakin.com,true
beamery.com,Beamery,false,true,https://beamery.com,https://beamery.com,true
beefledger.io,BeefLedger,false,true,https://beefledger.io,https://beefledger.io,true
behavox.com,Behavox AU,false,true,https://behavox.com,https://behavox.com,true
bendigotelco.com.au,Bendigo Telco Tech,false,true,https://bendigotelco.com.au,https://bendigotelco.com.au,true
boomaroo.com,Boomaroo Tech,false,true,https://boomaroo.com,https://boomaroo.com,true
braiins.com,Braiins,false,true,https://braiins.com,https://braiins.com,true
buildpass.com.au,Buildpass,false,true,https://www.buildpass.ai/,https://www.buildpass.ai/,true
canstar.com.au,Canstar,false,true,https://www.canstar.com.au/,https://www.canstar.com.au/,true
carbonlink.com.au,CarbonLink,false,true,https://carbonlink.com.au,https://carbonlink.com.au,true
cardiex.com,CardieX,false,true,https://conneqthealth.com/,https://conneqthealth.com/,true
cea.com.au,CEA Technologies,false,true,https://www.cea.com.au/,https://www.cea.com.au/,true
centralvicsolar.com.au,Central Victorian Solar IoT,false,true,https://centralvicsolar.com.au,https://centralvicsolar.com.au,true
cim.io,CIM Tech,false,true,https://www.cim.io/,https://www.cim.io/,true
cityzen.com.au,Cityzen Tech,false,true,https://cityzen.com.au,https://cityzen.com.au,true
civx.com.au,CivX,false,true,https://civxinfra.com.au/,https://civxinfra.com.au/,true
clevertar.com,Clevertar,false,true,https://www.clevertar.com/,https://www.clevertar.com/,true
clinuvel.com,Clinuvel Pharmaceuticals,false,true,https://www.clinuvel.com/,https://www.clinuvel.com/,true
