domain,name,decision,complete_candidate_count,incomplete_candidate_count,candidate_addresses
agridigital.io,Agridigital,manual_review_incomplete_candidate_only,0,1,"167 Brisbane Street, Dubbo, NSW"
anataralifesciences.com,Anatara Lifesciences,selected_single_complete_candidate,1,0,"81 Flinders Street, Adelaide SA 5000"
archerx.com.au,Archer Materials,selected_single_complete_candidate,1,0,477 Pitt Street Haymarket NSW 2000 | 477 Pitt Street Haymarket NSW 2000
assemblypayments.com,Assembly Payments,manual_review_incomplete_candidate_only,0,1,"121 Castlereagh Street Sydney, NSW"
bartondeakin.com,Barton Deakin,manual_review_multiple_complete_candidates,2,1,"1 Shelley Street Barangaroo, NSW | 2 Southbank Boulevard, Southbank VIC 3006 | 556 Wellington Street, Perth WA 6000"
boomaroo.com,Boomaroo Tech,selected_single_complete_candidate,1,0,"142 Harelmar Road, Southbrook, QLD 4363"
cim.io,CIM Tech,selected_single_complete_candidate,1,0,"156 Clarence Street, Sydney NSW 2000"
dimerix.com,Dimerix,selected_single_complete_candidate,1,0,425 Smith Street Fitzroy VIC 3065
dspace.com,Dspace Australia,selected_single_complete_candidate,1,0,55 Pyrmont Bridge Rd Pyrmont NSW 2009
flexigroup.com.au,FlexiGroup,selected_single_complete_candidate,1,0,"255 Pitt Street, Sydney NSW 2000 | 255 Pitt Street, Sydney NSW 2000"
geneticsignatures.com,Genetic Signatures,manual_review_incomplete_candidate_only,0,2,"7 Eliza Street Newtown, NSW | 7 Eliza Street Newtown, NSW"
geographe.com.au,Geographe,manual_review_multiple_complete_candidates,2,0,"480 Abernethy Road, Kewdale, WA 6105 | 57 Craigie Street, Davenport WA 6230"
inauro.com.au,Inauro,manual_review_incomplete_candidate_only,0,2,"644 Chapel Street, South Yarra, VIC | 644 Chapel Street, South Yarra, VIC"
jemena.com.au,Jemena,selected_single_complete_candidate,1,0,"567 Collins Street, MELBOURNE VIC 3000"
kablamo.com.au,Kablamo,selected_single_complete_candidate,1,0,"20 York Street Sydney NSW 2000 | 20 York Street, Sydney NSW 2000"
