domain,name,source_url,final_url,address_candidate,context,error
agridigital.io,Agridigital,https://www.agridigital.io/contact,https://www.agridigital.io/contact,"167 Brisbane Street, Dubbo, NSW","gn-center""><div class=""use-it-here""><div>Reach us at</div><div class=""use-it-here_arrow"">b</div></div><div class=""margin-bottom margin-small""><h2>Registered office</h2></div></div></div></div><div class=""our-offices_layout""><div class=""our-offices_item""><div class=""max-width-xxsmall align-center""><div class=""our-offices_item-details w-richtext""><p>167 Brisbane Street, Dubbo, NSW, 2830, AUSTRALIA </p><p>8:30am - 5:30pm AEST <br/>Monday to Friday </p></div></div></div></div></div></section><section class=""background-color-barley""><div class=""page-padding""><div class=""padding-vertical padding-xxlarge hide""><div class=""margin-bottom margin-xxhuge""><div class=""text-align-center""><div class=""margin-bottom margin-xsmall""><h2 class=""heading-xl-scale"">Join our community</h2></div><div class=""text-style-serif text-size-small"">Get the latest AgriDigital and industry insights</div><div class=""margin-top margin-large""><div class=""newsletter_form-block w-form""><form method=""get"" fs-formsubmit-element=",
assemblypayments.com,Assembly Payments,https://www.hellozai.com/contact-us,https://www.hellozai.com/contact-us,"121 Castlereagh Street Sydney, NSW","</div> <div class=""our-locations__card w-100""> <div class=""our-locations__card-inner h-100 p-4 bg-white""> <div class=""d-flex flex-column px-sm-2""> <h4>Australia</h4> <p><br>Level 12<br>121 Castlereagh Street<br>Sydney, NSW, 2000<br>Australia</p> <p><strong>Phone</strong><br><a href=""tel:+611300047883"" rel=""noopener"" target=""_blank""><span style=""color: #6738bd;"">+ 61 (0)1300 047 883</span></a></p> </div> </div> </div> </div> </div> </div> <div class=""spacer-bottom d-block w-100""></div> </div> </section></div></span> <div id=""hs_cos_wrapper_main_footer"" class=""hs_cos_wrapper hs_cos_wrapper_widget hs_cos_wrapper_type_module"" style="""" data-hs-cos-general-type=",
bartondeakin.com,Barton Deakin,https://bartondeakin.com/contact/,https://bartondeakin.com/contact/,"1 Shelley Street Barangaroo, NSW","<!doctype html> <html class=""no-js"" lang=""en-AU""> <head> <meta charset=""utf-8""> <meta http-equiv=""X-UA-Compatible"" content=""IE=edge""> <title>Contact - Barton Deakin</title> <meta name=""viewport"" content=""width=device-width, initial-scale=1""> <!-- Google Tag Manager --> <script>(function(w,d,s,l,i){w[l]=w[l]||[];w[l].push({'gtm.start': new Date().getTime(),event:'gtm.js'});var f=d.getElementsByTagName(s)[0], j=d.createElement(s),dl=l!='dataLayer'?'&l='+l:'';j.async=true;j.src= 'https://www.googletagmanager.com/gtm.js?id='+i+dl;f.parentNode.insertBefore(j,f); })(window,document,'script','dataLayer','GTM-5TBGR2C');</script> <!-- End Google Tag Manager --> <link rel=""apple-touch-icon-precomposed"" sizes=""57x57"" href=""https://bartondeakin.com/wp-content/themes/bartondeakin/assets/dist/img/favicon/apple-touch-icon-57x57.png"" /> <link rel=""apple-touch-icon-precomposed"" siz",
bartondeakin.com,Barton Deakin,https://bartondeakin.com/contact/,https://bartondeakin.com/contact/,"2 Southbank Boulevard, Southbank VIC 3006","<script>(function(w,d,s,l,i){w[l]=w[l]||[];w[l].push({'gtm.start': new Date().getTime(),event:'gtm.js'});var f=d.getElementsByTagName(s)[0], j=d.createElement(s),dl=l!='dataLayer'?'&l='+l:'';j.async=true;j.src= 'https://www.googletagmanager.com/gtm.js?id='+i+dl;f.parentNode.insertBefore(j,f); })(window,document,'script','dataLayer','GTM-5TBGR2C');</script> <!-- End Google Tag Manager --> <link rel=""apple-touch-icon-precomposed"" sizes=""57x57"" href=""https://bartondeakin.com/wp-content/themes/bartondeakin/assets/dist/img/favicon/apple-touch-icon-57x57.png"" /> <link rel=""apple-touch-icon-precomposed"" sizes=""114x114"" href=""https://bartondeakin.com/wp-content/themes/bartondeakin/assets/dist/img/favicon/apple-touch-icon-114x114.png"" /> <link rel=""apple-touch-icon-precomposed"" sizes=""72x72"" href=""https://bartondeakin.com/wp-content/themes/bartondeakin/assets/dist/img/favicon/apple-touch-icon-72x72.png"" /> <link rel=""apple-touch-icon-precomposed"" sizes=""144x144"" href=""https://barton",
bartondeakin.com,Barton Deakin,https://bartondeakin.com/contact/,https://bartondeakin.com/contact/,"556 Wellington Street, Perth WA 6000","<dl> <dt>T</dt> <dd>+61 2 9191 7894</dd> </dl> </div> </div> </div> </div> <div class=""row""> <div class=""col-md-10""> <div class=""thumbnail contact-info contact-info--nolink""> <div class=""caption--location""> <h2>Western Australia</h2> <address>Level 2, Kings Square 1, 556 Wellington Street, Perth WA 6000</address> <dl> <dt>T</dt> <dd>+61 2 9191 7894</dd> </dl> </div> </div> </div> </div> </div> </div> </div> <a href=""#"" class=""common-pagetop""> <i class=""icon-arrow-down""></i> </a> </main> <div class=""pre-footer""> <div class=""container-fluid""> <div class=""row""> <div class=""col-sm-12 logos""> <a target=""_blank"" href=""http://www.wppaunzgr.com""> <img src="""" alt=""""> </a> <a target=""_blank"" href=""https://bartondeakin.com/""> <img src="""" alt=""""> </a> </div> <div class=""col-sm-8 hidden-xs"">",
geneticsignatures.com,Genetic Signatures,https://geneticsignatures.com/au/,https://geneticsignatures.com/au/,"7 Eliza Street Newtown, NSW","bold.eot?#iefix') format('embedded-opentype'), url('https://geneticsignatures.com/au/wp-content/uploads/sites/2/lineto-akkurat-bold.svg') format('svg'); } /*# sourceURL=cf-frontend-style-inline-css */ </style> <link rel='stylesheet' id='mp-theme-css' href='https://geneticsignatures.com/au/wp-content/plugins/memberpress/css/ui/theme.css?ver=1.12.17' media='all' /> <style id=""wp-emoji-styles-inline-css""> img.wp-smiley, img.emoji { display: inline !important; border: none !important; box-shadow: none !important; height: 1em !important; width: 1em !important; margin: 0 0.07em !important; vertical-align: -0.1em !important; background: none !important; padding: 0 !important; } /*# sourceURL=wp-emoji-styles-inline-css */ </style> <style id=""wp-block-library-inline-css""> :root{--wp-block-synced-color:#7a00df;--wp-block-synced-color--rgb:122,0,223;--wp-bound-block-color:var(--wp-block-synced-color);--wp-editor-canvas-background:#ddd;--wp-admin-theme-color:#007cba;--wp-admi",
geneticsignatures.com,Genetic Signatures,https://geneticsignatures.com/au/contact/,https://geneticsignatures.com/au/contact/,"7 Eliza Street Newtown, NSW","quiv='X-UA-Compatible' content='IE=edge' /> <link rel=""profile"" href=""https://gmpg.org/xfn/11"" /> <title>Contact Us &#8211; Genetic Signatures AU</title> <meta name=""description"" content=""Contact Us Contact us for more information on our products and technology, or for any other enquiries. HeadquartersGenetic Signatures Ltd.Heart Research Institute7 Eliza Street Newtown,NSW, 2042 Australia Emailinfo@geneticsignatures.com Telephone+61 2 9870 7580 Please Contact Us""> <meta name=""robots"" content=""index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1""> <link rel=""canonical"" href=""https://geneticsignatures.com/au/contact/""> <meta property=""og:url"" content=""https://geneticsignatures.com/au/contact/""> <meta property=""og:site_name"" content=""Genetic Signatures AU""> <meta property=""og:locale"" content=""en_US""> <meta property=""og:type"" content=""article""> <meta property=""og:title"" content=""Contact Us &#8211; Genetic Signatures AU""> <meta property=""og:description"" content=""Cont",
geographe.com.au,Geographe,https://geographe.com.au/contact,https://geographe.com.au/contact,"480 Abernethy Road, Kewdale, WA 6105","=""faq-cat-1-sub-1"" class=""panel-collapse collapse in"" data-loc-index=""0"" data-cat-index=""0""> <div class=""panel-body""> <p><strong><span>Global Parts Sales &amp; Distribution Warehouse</span></strong><br>Plus: Product Development, Engineering Workshop, Gear Manufacturing and Accounts</p> <p><span>Address:<br>480 Abernethy Road, Kewdale, WA 6105<br>Phone: <a href=""tel:+%2061%208%209449%201111"">+ 61 8 9449 1111</a><br></span></p> <p>The current time in Perth, WA is:&nbsp;<br><strong><span id=""perth-time""></span></strong></p> <script> function updateTime() { // The HTML element where the time will be displayed const timeElement = document.getElementById(""perth-time""); if (timeElement) { const now = new Date(); const options = { // Updated timezone for Perth timeZone: 'Australia/Perth', weekday: 'long', year: 'numeric', month: 'long', day: 'numeric', hour: 'numeric', minute: '2-digit' };",
geographe.com.au,Geographe,https://geographe.com.au/contact,https://geographe.com.au/contact,"57 Craigie Street, Davenport WA 6230","graphe.com.au/hubfs/hub_generated/template_assets/1/156629351228/1780904816452/template_theme-overrides.min.css""> <link rel=""stylesheet"" href=""https://geographe.com.au/hubfs/hub_generated/template_assets/1/156629087807/1780904832894/template_common.min.css""> <link rel=""stylesheet"" href=""https://geographe.com.au/hubfs/hub_generated/module_assets/1/157630415007/1776310133455/module_Website_Header.min.css""> <link rel=""stylesheet"" href=""https://geographe.com.au/hubfs/hub_generated/module_assets/1/160699137098/1741314704021/module_Top_Pagination.min.css""> <link rel=""stylesheet"" href=""https://geographe.com.au/hubfs/hub_generated/module_assets/1/158979804462/1788336115142/module_Contact_us_form.min.css""> <link rel=""stylesheet"" href=""https://geographe.com.au/hubfs/hub_generated/module_assets/1/171826885710/1788338037978/module_Contact_us_Get_in_touch_2.min.css""> <link rel=""stylesheet"" href=""https://geographe.com.au/hubfs/hub_generated/module_assets/1/157498874898/1741314645079/module_Multiple_CT",
inauro.com.au,Inauro,https://www.inauro.com.au/,https://www.inauro.com.au/,"644 Chapel Street, South Yarra, VIC","iedOn"":1784163814166,""developerMode"":true,""formattingLocale"":""en-AU"",""fullSiteTitle"":""Inauro Wealth Management"",""identifier"":""bagpipe-earthworm-8plx"",""imageMetadataProcessingEnabled"":false,""isHstsEnabled"":true,""language"":""en-AU"",""location"":{""mapLat"":-37.8385561,""mapLng"":144.9959957,""addressTitle"":""Inauro Wealth Management"",""addressLine1"":""Level 8, 644 Chapel Street"",""addressLine2"":""South Yarra, VIC, 3141"",""addressCountry"":""Australia""},""logoImageId"":""5d5d0120dd357600015c2915"",""primaryDomain"":""www.inauro.com.au"",""screenshotId"":""b40712280d1dd359e074d357694046ce6c4a9c461543f4675b23afb28206361c"",""shareButtonOptions"":{""3"":true,""8"":true,""2"":true,""7"":true,""4"":true,""1"":true,""6"":true},""showOwnerLogin"":false,""siteDescription"":"""",""siteStatus"":{},""siteTagLine"":""Enriching Lives , Present and Future"",""siteTitle"":""Inauro Wealth Management"",""socialLogoImageId"":""5d54a5ae4b864300018a3e62"",""sslSetting"":3,""timeZone"":""Australia/Melbourne"",""translationLocale"":""en-US"",""typekitId"":"""",""websiteType"":1,""hasBeenClone",
