company_domain,ats_provider,ats_identifier,evidence_url,careers_url,status
alembic.com.au,ashby,teamalembic,https://alembic.com.au/careers,https://alembic.com.au/careers,candidate_requires_manual_live_board_verification
astutepayroll.com,ashby,Deel,https://astutepayroll.com/careers/,https://astutepayroll.com/careers,candidate_requires_manual_live_board_verification
audinate.com,lever,audinate,https://jobs.lever.co/audinate,https://jobs.lever.co/audinate,candidate_requires_manual_live_board_verification
creditorwatch.com.au,workable,creditorwatch,https://creditorwatch.com.au/company/careers,https://creditorwatch.com.au/careers,candidate_requires_manual_live_board_verification
cultureamp.com,greenhouse,cultureamp,https://www.cultureamp.com/company/careers,https://www.cultureamp.com/careers,candidate_requires_manual_live_board_verification
dovetail.com,ashby,dovetail,https://dovetail.com/careers/,https://dovetail.com/careers/,candidate_requires_manual_live_board_verification
dug.com,breezy,dug,https://dug.com/careers-at-dug/,https://dug.com/careers,candidate_requires_manual_live_board_verification
easyagile.com,lever,easyagile,https://www.easyagile.com/company/careers,https://www.easyagile.com/careers/,candidate_requires_manual_live_board_verification
ferocia.com.au,ashby,ferocia,https://ferocia.com.au/careers,https://ferocia.com.au/careers,candidate_requires_manual_live_board_verification
immutable.com,lever,immutable,https://www.immutable.com/careers,https://www.immutable.com/careers,candidate_requires_manual_live_board_verification
kasada.io,lever,kasada,https://www.kasada.io/careers,https://www.kasada.io/careers/,candidate_requires_manual_live_board_verification
legalvision.com.au,workable,legalvision,https://legalvision.com.au/careers/,https://legalvision.com.au/careers,candidate_requires_manual_live_board_verification
lyka.com.au,workable,lyka,https://lyka.com.au/careers,https://lyka.com.au/careers,candidate_requires_manual_live_board_verification
mable.com.au,lever,mable,https://mable.com.au/about-us/careers-at-mable/,https://mable.com.au/careers,candidate_requires_manual_live_board_verification
megaport.com,lever,megaport,https://www.megaport.com/careers/,https://www.megaport.com/careers/,candidate_requires_manual_live_board_verification
myzeller.com,lever,Zeller,https://www.myzeller.com/au/careers,https://www.myzeller.com/careers,candidate_requires_manual_live_board_verification
objective.com,lever,objective,https://www.objective.com/about/careers,https://www.objective.com/careers,candidate_requires_manual_live_board_verification
rumin8.com,lever,rumin8,https://rumin8.com/careers/,https://rumin8.com/careers,candidate_requires_manual_live_board_verification
shift.com.au,ashby,shift,https://www.shift.com.au/careers,https://www.shift.com.au/careers,candidate_requires_manual_live_board_verification
tibra.com,workable,tibra-capital-1,https://www.tibra.com/careers/,https://www.tibra.com/careers/,candidate_requires_manual_live_board_verification
up.com.au,ashby,ferocia,https://ferocia.com.au/careers,https://ferocia.com.au/careers,candidate_requires_manual_live_board_verification
upguard.com,ashby,upguard,https://www.upguard.com/careers,https://www.upguard.com/careers,candidate_requires_manual_live_board_verification
wisr.com.au,lever,wisr,https://wisr.com.au/careers,https://wisr.com.au/careers,candidate_requires_manual_live_board_verification
zutec.com,workable,zutec,https://zutec.com/about,https://zutec.com/careers,candidate_requires_manual_live_board_verification
