domain,name,current_ambiguous_input,source_url,outcome,candidate_count
academyxi.com,Academy Xi,"George Street, Sydney NSW 2000, Australia",https://academyxi.com,reachable_no_street_candidate,0
accesspay.com.au,AccessPay,"Queen Street, Brisbane QLD 4000, Australia",https://accesspay.com.au,reachable_no_street_candidate,0
aerobotics.com,Aerobotics,"George Street, Sydney NSW 2000, Australia",https://aerobotics.com,reachable_no_street_candidate,0
aerologix.com,Aerologix,"Queen Street, Brisbane QLD 4000, Australia",https://aerologix.com,reachable_no_street_candidate,0
agdna.com,AgDNA,"Macquarie Street, Dubbo NSW 2830, Australia",,unreachable,0
agiledigital.com.au,Agile Digital,"University Avenue, Canberra ACT 2601, Australia",https://agiledigital.com.au,reachable_no_street_candidate,0
agora.io,Agora,"George Street, Sydney NSW 2000, Australia",https://www.agora.io/en/,reachable_no_street_candidate,0
agtechcentral.com.au,AgTech Central,"Ruthven Street, Toowoomba QLD 4350, Australia",,unreachable,0
aiml.adelaide.edu.au,Australian Institute for Machine Learning,"North Terrace, Adelaide SA 5000, Australia",,unreachable,0
albanywaveenergy.com.au,Albany Wave Energy Tech,"York Street, Albany WA 6330, Australia",,unreachable,0
alembic.com.au,Alembic Strategy,"Collins Street, Melbourne VIC 3000, Australia",https://alembic.com.au,reachable_no_street_candidate,0
amidatech.com.au,Amida Technology,"St Georges Terrace, Perth WA 6000, Australia",,unreachable,0
ampere.energy,Ampere Energy,"Collins Street, Melbourne VIC 3000, Australia",https://ampere.energy,reachable_no_street_candidate,0
arcoplatform.com,Arco Platform,"George Street, Sydney NSW 2000, Australia",https://www.arcoeducacao.com.br:443/,reachable_no_street_candidate,0
arloid.com,Arloid Automation,"George Street, Sydney NSW 2000, Australia",https://arloid.com,reachable_no_street_candidate,0
arnhemspace.com.au,Arnhem Space Tech,"Chesterfield Circuit, Nhulunbuy NT 0880, Australia",,unreachable,0
astutepayroll.com,Astute Payroll,"George Street, Sydney NSW 2000, Australia",https://astutepayroll.com,reachable_no_street_candidate,0
