name,domain,city,status,pages_checked,address_candidates,next_action
Phocas Software,phocassoftware.com,Melbourne,address_candidate_needs_verification,https://www.phocassoftware.com/ | https://www.phocassoftware.com/contact | https://www.phocassoftware.com/locations,17 Newton Street Cremorne VIC 3121 | 321 Kent Street Sydney NSW 2000,Verify candidate text on the cited first-party page before geocoding.
Ipscape,ipscape.com,Sydney,no_candidate_found,https://ipscape.com/ | https://ipscape.com/contact | https://ipscape.com/contact-us | https://ipscape.com/locations | https://ipscape.com/support,,Verify candidate text on the cited first-party page before geocoding.
Reejig,reejig.com,Sydney,no_candidate_found,https://www.reejig.com/ | https://resources.reejig.com/article/contact | https://www.reejig.com/contact-us | https://www.reejig.com/locations | https://www.reejig.com/support,,Verify candidate text on the cited first-party page before geocoding.
Transurban Digital,transurban.com,Melbourne,no_candidate_found,https://www.transurban.com/ | https://www.transurban.com/contact | https://www.transurban.com/contact-us | https://www.transurban.com/locations | https://www.transurban.com/support,,Verify candidate text on the cited first-party page before geocoding.
Credabl,credabl.com.au,Sydney,address_candidate_needs_verification,https://www.credabl.com.au/ | https://www.credabl.com.au/contact | https://www.credabl.com.au/contact-us | https://www.credabl.com.au/locations | https://www.credabl.com.au/support,"151 Castlereagh St, Sydney NSW 2000 | 2/600 Church St, Cremorne VIC 3121 | 10/300 Queen St, Brisbane City QLD 4000 | 2/8 Colin Street, West Perth WA 6005 | 2/600 Church Street, Cremorne VIC 3121",Verify candidate text on the cited first-party page before geocoding.
Nookal,nookal.com,Brisbane,no_candidate_found,https://www.nookal.com/ | https://www.nookal.com/contact | https://www.nookal.com/contact-us | https://www.nookal.com/locations | https://support.nookal.com/hc/en-us,,Verify candidate text on the cited first-party page before geocoding.
Planit Testing,planittesting.com,Melbourne,address_candidate_needs_verification,https://www.planit.com/ | https://www.planit.com/contact-us/ | https://www.planit.com/locations | https://www.planit.com/supporting-growth-with-microsoft-dynamics-365/,"309 Kent Street, Sydney NSW 2000 | 140 William Street, Melbourne VIC 3000 | 259 Queen Street, Brisbane QLD 4000 | 167 St Georges Terrace, Perth WA 6000 | 15/91 King William St, Adelaide SA 5000 | 50 Blackall Street, Barton ACT 2600",Verify candidate text on the cited first-party page before geocoding.
CEVO,cevo.com.au,Melbourne,address_candidate_needs_verification,https://cevo.com.au/ | https://cevo.com.au/contact-us/ | https://cevo.com.au/locations | https://cevo.com.au/wp-content/uploads/2023/10/support.svg,440 Collins St Melbourne VIC 3000 | 24 Campbell St Haymarket NSW 2000 | 200 Adelaide St Brisbane QLD 4000 | 33 Allara St Canberra ACT 2601,Verify candidate text on the cited first-party page before geocoding.
Bugwolf,bugwolf.com,Adelaide,no_candidate_found,https://bugwolf.com/ | https://bugwolf.com/contact | https://bugwolf.com/contact-us | https://bugwolf.com/locations | https://bugwolf.com/support,,Verify candidate text on the cited first-party page before geocoding.
Biarri Networks,biarri.com,Melbourne,no_candidate_found,https://biarri.com/ | https://biarri.com/contact-us/ | https://biarri.com/locations | https://biarri.com/support,,Verify candidate text on the cited first-party page before geocoding.
Spaceship,spaceship.com.au,Sydney,no_candidate_found,https://www.spaceship.com.au:443/ | https://help.spaceship.com.au:443/en/ | https://www.spaceship.com.au:443/contact-us | https://www.spaceship.com.au:443/locations | https://www.spaceship.com.au:443/support,,Verify candidate text on the cited first-party page before geocoding.
Coles Digital,colesgroup.com.au,Melbourne,no_candidate_found,https://www.colesgroup.com.au/home/ | https://www.colesgroup.com.au/404.html,,Verify candidate text on the cited first-party page before geocoding.
